Id,pictures,Candidate,Quote,Key
433,NULL,Hillary,"I just think that giving a child a chance and sharing what you have with a child is one of the greatest gifts you can give yourself, as well as a child.",
434,NULL,Hillary,"You have to be true to yourself.",
435,NULL,Hillary,"Great nations need organizing principles, and 'Don't do stupid stuff' is not an organizing principle.",
436,...,Hillary,"I have not supported same-sex marriage. I have supported civil partnerships and contractual relationships.",
437,NULL,Hillary,"Sometimes, in public life, people ask inappropriate, off-the-wall kinds of questions, don't they?",
438,NULL,Hillary,"And to all of your supporters here and around the country: I want you to know, I've heard you. Your cause is our cause. Our country needs your ideas, energy, and passion. That is the only way we can turn our progressive platform into real change for America. We wrote it together - now let's go out and make it happen together.",
439,NULL,Hillary,"Now there is a new request. To release transcripts of speeches that were given. When everybody agrees to do that, I will as well. It is important we all abide by the same standards. So let's do the tax return standard first, because that has been the standard for a long time.",
440,NULL,Hillary,"I've spent so many years commuting, I kind of prefer a home office.",
441,NULL,Hillary,"People have to stop employing illegal immigrants.",
442,NULL,Hillary,"I also believe that we have an extraordinary opportunity for the United States and European Union to lead the world in developing and implementing new and more efficient technologies - smart electrical grids and electrical vehicles.",
443,NULL,Hillary,"This is what we call smart power. Using every possible tool and partner to advance peace and security. Leaving no one on the sidelines. Showing respect even for one's enemies. Trying to understand, in so far as psychologically possible, empathize with their perspective and point of view. Helping to define the problems, determine the solutions.",
444,NULL,Hillary,"I want to work with my husband and my daughter on our mutual foundation interests.",
445,NULL,Hillary,"I have to defend my husband.",
446,NULL,Hillary,"I always supported the women I worked with having time off to go to parent-teacher conferences and doctors' appointments or bringing their infants into the office.",
447,NULL,Hillary,"The first lesson I've learned is that no matter what you do in your life, you have to figure out your own internal rhythms - I mean, what works for you doesn't necessarily work for your friend.",
448,NULL,Hillary,"The importance of building relationships among colleagues, of trying to create coalitions behind the issues that you are championing, was not something I ever had much insight into until I was elected and started serving in the Senate.",
449,NULL,Hillary,"I think I will serve as secretary of state as my last public position.",
450,NULL,Hillary,"I was not going to attack Palin just for being a woman appealing for support from other women.",
451,NULL,Hillary,"I believe that eventually, one of the next big issues that will have to be addressed globally is the role of state-owned enterprises. Because there is a disadvantage that's built in.",
452,NULL,Hillary,"I would be delighted if the United States could have a positive relationship with Russia, and I would be thrilled if the Russian people, who are so capable, had a normal country that they could chart a different future.",
453,NULL,Hillary,"American politics is always an open competition.",
454,NULL,Hillary,"And we'll build a path to citizenship for millions of immigrants who are already contributing to our economy!",
455,NULL,Hillary,"I can't drive anymore.",
456,NULL,Hillary,"I don't think we should be about the business of denying voters in Michigan and Florida the right to be heard.",
